"time","speaker","line"
"01min20sec","Wallace","Good evening from the Health Education Campus of Case Western Reserve University and the Cleveland Clinic. I’m Chris Wallace of Fox News and I welcome you to the first of the 2020 Presidential Debates between President Donald J. Trump and former Vice President Joe Biden. This debate is sponsored by the Commission on Presidential debates. The Commission has designed the format, six roughly 15 minute segments with two minute answers from each candidate to the first question, then open discussion for the rest of each segment. Both campaigns have agreed to these rules. For the record, I decided the topics and the questions in each topic. I can assure you none of the questions has been shared with the Commission or the two candidates."
"02min10sec","Wallace","This debate is being conducted under health and safety protocols designed by the Cleveland Clinic, which is serving as the Health Security advisor to the Commission for all four debates. As a precaution, both campaigns have agreed the candidates will not shake hands at the beginning of tonight’s debate. The audience here in the hall has promised to remain silent. No cheers, no boos, or other interruptions so we, and more importantly you, can focus on what the candidates have to say. No noise except right now, as we welcome the Republican nominee, President Trump, and the Democratic nominee Vice President Biden."
"02min49sec","Biden","How you doing, man?"
"02min51sec","Trump","How are you doing?"
"02min51sec","Biden","I’m well."
"03min11sec","Wallace","Gentlemen, a lot of people been waiting for this night, so let’s get going. Our first subject is the Supreme Court. President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the Court. You say the Constitution is clear about your obligation and the Senate’s to consider a nominee to the Court. Vice President Biden, you say that this is an effort by the President and Republicans to jam through on an appointment in what you call an abuse of power. My first question to both of you tonight, why are you right in the argument you make and your opponent wrong? And where do you think a Justice Barrett would take the court? President Trump, in this first segment, you go first. Two minutes."
"04min01sec","Trump","Thank you very much, Chris. I will tell you very simply. We won the election. Elections have consequences. We have the Senate, we have the White House, and we have a phenomenal nominee respected by all. Top, top academic, good in every way. Good in every way. In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places. So I think she’s going to be fantastic. We have plenty of time. Even if we did it after the election itself. I have a lot of time after the election, as you know. So I think that she will be outstanding. She’s going to be as good as anybody that has served on that court. We really feel that. We have a professor at Notre Dame, highly respected by all, said she’s the single greatest student he’s ever had. He’s been a professor for a long time at a great school."
"04min53sec","Trump","And we won the election and therefore we have the right to choose her, and very few people knowingly would say otherwise. And by the way, the Democrats, they wouldn’t even think about not doing it. The only difference is they’d try and do it faster. There’s no way they would give it up. They had Merrick Garland, but the problem is they didn’t have the election so they were stopped. And probably that would happen in reverse, also. Definitely would happen in reverse. So we won the election and we have the right to do it, Chris."
"05min22sec","Wallace","President Trump, thank you. Same question to you, Vice President Biden. You have two minutes."
"05min29sec","Biden","Well, first of all, thank you for doing this and looking forward to this, Mr. President."
"05min34sec","Trump","Thank you, Joe."
"05min36sec","Biden","The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They’re not going to get that chance now because we’re in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President."
"06min12sec","Biden","Now, what’s at stake here is the President’s made it clear, he wants to get rid of the Affordable Care Act. He’s been running on that, he ran on that and he’s been governing on that. He’s in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I’m not opposed to the justice, she seems like a very fine person. But she’s written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that’s on the court, and if it’s struck down, what happens? Women’s rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They’re able to charge women more for the same exact procedure a man gets."
"07min08sec","Biden","And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it’s just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February."
"07min34sec","Trump","There aren’t a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We’re not elected for three years. I’m not elected for three years. So we have the Senate, we have a President-"
"08min01sec","Biden","He’s elected to the next election."
"08min02sec","Trump","During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this."
"08min24sec","Biden","That’s simply not true."
"08min25sec","Trump","Well, you’re certainly going to socialist. You’re going to socialist-"
"08min29sec","Wallace","Gentlemen, we’re now into open discussion."
"08min31sec","Biden","Open discussion."
"08min32sec","Wallace","Open discussion, yes, I agree. Go ahead, Vice President."
"08min33sec","Biden","Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal."
"08min58sec","Trump","That’s not what you’ve said and it’s not what your party is saying."
"09min00sec","Biden","That is simply a lie."
"09min02sec","Trump","Your party doesn’t say it. Your party wants to go socialist medicine and socialist healthcare."
"09min05sec","Biden","The party is me. Right now, I am the Democratic Party."
"09min08sec","Trump","And they’re going to dominate you, Joe. You know that."
"09min09sec","Biden","I am the Democratic Party right now."
"09min11sec","Trump","Not according to Harris."
"09min12sec","Biden","The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 20, the 200 mil- the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?"
"09min39sec","Trump","Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military. So don’t tell me about this."
"09min47sec","Biden","I’m happy to talk about this."
"09min48sec","Trump","And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw. You didn’t want me to ban China, which was heavily infected. You didn’t want me to ban Europe."
"09min58sec","Wallace","All right, gentlemen, Mr. President."
"10min00sec","Trump","You would have been much later, Joe, much later."
"10min04sec","Wallace","Mr. President."
"10min04sec","Trump","We’re talking about two million people."
"10min05sec","Biden","You’re not going to be able to shut him up."
"10min06sec","Wallace","Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead."
"10min11sec","Biden","Let me finish. The point is that the President also is opposed to Roe V. Wade. That’s on the ballot as well and the court, in the court, and so that’s also at stake right now. And so the election is all-"
"10min25sec","Trump","You don’t know what’s on the ballot. Why is it on the ballot? Why is it on the ballot? It’s not on the ballot."
"10min31sec","Biden","It’s on the ballot in the court."
"10min32sec","Trump","I don’t think so."
"10min33sec","Biden","In the court."
"10min34sec","Trump","There’s nothing happening there."
"10min35sec","Biden","Donald would you just be quiet for a minute."
"10min36sec","Trump","You don’t know her view on Roe V. Wade? You don’t know here view."
"10min40sec","Wallace","Well, all right. All right. Let’s talk. We’ve got a lot to unpack here, gentlemen. We’ve got a lot of time. On healthcare, and then we’ll come back to Roe V. Wade."
"10min51sec","Biden","All right."
"10min51sec","Wallace","Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare."
